generation,best_fitness,confidence_threshold,max_cosine_distance,scale_factor,brightness,contrast
0,0.6322393029675639,0.6208365301699431,0.3952819031939736,1.5433228334669262,49.685881211313955,1.6527769616385977
1,0.6322393029675639,0.6208365301699431,0.3952819031939736,1.5433228334669262,49.685881211313955,1.6527769616385977
2,0.6322393029675639,0.6208365301699431,0.3952819031939736,1.1748354209859597,49.685881211313955,1.6527769616385977
3,0.6322393029675639,0.6208365301699431,0.3952819031939736,1.5433228334669262,49.685881211313955,1.6527769616385977
4,0.6344893029675638,0.6208365301699431,0.3952819031939736,1.9243752082668184,49.685881211313955,1.6527769616385977
5,0.6344893029675638,0.6208365301699431,0.3952819031939736,1.9243752082668184,49.685881211313955,1.6527769616385977
6,0.6344893029675638,0.6208365301699431,0.3952819031939736,1.9243752082668184,49.685881211313955,1.6527769616385977
7,0.6344893029675638,0.6208365301699431,0.3952819031939736,1.9243752082668184,49.685881211313955,1.6527769616385977
8,0.6344893029675638,0.6208365301699431,0.3952819031939736,1.9243752082668184,49.685881211313955,1.6527769616385977
9,0.6344893029675638,0.6208365301699431,0.3952819031939736,1.9243752082668184,49.685881211313955,1.6527769616385977
